EXCHANGE, INDEX, CODE

BSE, 100, BSE100
BSE, 200, BSE200
BSE, 500 Shariah, SPBSE5S
BSE, 500, BSE500
BSE, AllCap, SPBSAIP
BSE, AUTO, SI1900
BSE, BANKEX, SIBANK
BSE, Basic Materials, SPBSBMIP
BSE, CAPITAL GOODS, SI0200
BSE, CARBONEX, CARBON
BSE, Consumer Discretionary Goods &amp; Services, SPBSCDIP
BSE, CONSUMER DURABLES, SI0400
BSE, CPSE, CPSE
BSE, Dividend Stability Index, SPBSDSIP
BSE, DOLLEX 100, DOL100
BSE, DOLLEX 200, DOLLEX
BSE, DOLLEX 30, DOLL30
BSE, Energy, SPBSENIP
BSE, Enhanced Value Index, SPBSEVIP
BSE, Fast Moving Consumer Goods, SI0600
BSE, Finance, SPBSFIIP
BSE, GREENEX, GREENX
BSE, Healthcare, SI0800
BSE, India 10 Year Sovereign Bond, SPBDISBT
BSE, India Infrastructure Index, INFRA
BSE, India Manufacturing Index, SPBIMIP
BSE, Industrials, SPBSIDIP
BSE, Information Technology, SI1000
BSE, IPO, IPO
BSE, LargeCap, SPBSLIP
BSE, LargeMidCap, SPBSLMIP
BSE, Low Volatility Index, SPBSLVIP
BSE, METAL, SI1200
BSE, MidCap Select Index, SPBMDSIP
BSE, MidCap, BSEMID
BSE, MidSmallCap, SPBSMSIP
BSE, Momentum Index, SPBSMOIP
BSE, OIL &amp; GAS, SI1400
BSE, POWER, SIPOWE
BSE, PSU, SIBPSU
BSE, Quality Index, SPBSQIP
BSE, REALTY, SIREAL
BSE, SENSEX Dynamic Gold Hedged Index, SPBSDGDH
BSE, SENSEX Gold Hedged Index, SPBSGLDH
BSE, SENSEX, SENSEX
BSE, SmallCap Select Index, SPBSSSIP
BSE, SmallCap, BSESML
BSE, SME IPO, SMEIPO
BSE, TECK, SIBTEC
BSE, Telecom, SPBSTLIP
BSE, Utilities, SPBSUTIP
